"Species_Binomial:","Life_Stage:","value","source","target","LinkGroup","Effect_Category:","Categorical_Effect","color"
"Coregonus albula","Embryotic/egg",32,1,9,"Coregonus albula",NA,NA,"#e78ac3"
"Coregonus albula","Larva/fry",28,1,8,"Coregonus albula",NA,NA,"#e78ac3"
"Coregonus artedi","Embryotic/egg",14,3,9,"Coregonus artedi",NA,NA,"#ffd92f"
"Coregonus artedi","Larva/fry",4,3,8,"Coregonus artedi",NA,NA,"#ffd92f"
"Coregonus clupeaformis","Embryotic/egg",43,2,9,"Coregonus clupeaformis",NA,NA,"#fc8d62"
"Coregonus clupeaformis","Larva/fry",11,2,8,"Coregonus clupeaformis",NA,NA,"#fc8d62"
"Coregonus fera","Embryotic/egg",1,7,9,"Coregonus fera",NA,NA,"#f1d894"
"Coregonus fera","Larva/fry",1,7,8,"Coregonus fera",NA,NA,"#f1d894"
"Coregonus fontanae","Larva/fry",1,4,8,"Coregonus fontanae",NA,NA,"#a6d854"
"Coregonus lavaretus","Embryotic/egg",10,0,9,"Coregonus lavaretus",NA,NA,"#66c2a5"
"Coregonus lavaretus","Larva/fry",26,0,8,"Coregonus lavaretus",NA,NA,"#66c2a5"
"Coregonus lavaretus macrophthalmus","Embryotic/egg",1,6,9,"Coregonus lavaretus macrophthalmus",NA,NA,"#66c2a5"
"Coregonus lavaretus macrophthalmus","Larva/fry",1,6,8,"Coregonus lavaretus macrophthalmus",NA,NA,"#66c2a5"
"Coregonus lavaretus wartmanni","Embryotic/egg",1,5,9,"Coregonus lavaretus wartmanni",NA,NA,"#66c2a5"
"Coregonus lavaretus wartmanni","Larva/fry",2,5,8,"Coregonus lavaretus wartmanni",NA,NA,"#66c2a5"
"Coregonus albula","Embryotic/egg",1,9,12,"Coregonus albula","Density",NA,"#e78ac3"
"Coregonus albula","Embryotic/egg",19,9,11,"Coregonus albula","Growth",NA,"#e78ac3"
"Coregonus albula","Embryotic/egg",3,9,13,"Coregonus albula","Other",NA,"#e78ac3"
"Coregonus albula","Embryotic/egg",9,9,10,"Coregonus albula","Survival",NA,"#e78ac3"
"Coregonus albula","Larva/fry",4,8,12,"Coregonus albula","Density",NA,"#e78ac3"
"Coregonus albula","Larva/fry",15,8,11,"Coregonus albula","Growth",NA,"#e78ac3"
"Coregonus albula","Larva/fry",9,8,10,"Coregonus albula","Survival",NA,"#e78ac3"
"Coregonus artedi","Embryotic/egg",9,9,11,"Coregonus artedi","Growth",NA,"#ffd92f"
"Coregonus artedi","Embryotic/egg",5,9,10,"Coregonus artedi","Survival",NA,"#ffd92f"
"Coregonus artedi","Larva/fry",4,8,11,"Coregonus artedi","Growth",NA,"#ffd92f"
"Coregonus clupeaformis","Embryotic/egg",25,9,11,"Coregonus clupeaformis","Growth",NA,"#fc8d62"
"Coregonus clupeaformis","Embryotic/egg",9,9,13,"Coregonus clupeaformis","Other",NA,"#fc8d62"
"Coregonus clupeaformis","Embryotic/egg",1,9,14,"Coregonus clupeaformis","Recruitment (general)",NA,"#fc8d62"
"Coregonus clupeaformis","Embryotic/egg",8,9,10,"Coregonus clupeaformis","Survival",NA,"#fc8d62"
"Coregonus clupeaformis","Larva/fry",2,8,12,"Coregonus clupeaformis","Density",NA,"#fc8d62"
"Coregonus clupeaformis","Larva/fry",2,8,11,"Coregonus clupeaformis","Growth",NA,"#fc8d62"
"Coregonus clupeaformis","Larva/fry",2,8,13,"Coregonus clupeaformis","Other",NA,"#fc8d62"
"Coregonus clupeaformis","Larva/fry",5,8,10,"Coregonus clupeaformis","Survival",NA,"#fc8d62"
"Coregonus fera","Embryotic/egg",1,9,11,"Coregonus fera","Growth",NA,"#f1d894"
"Coregonus fera","Larva/fry",1,8,11,"Coregonus fera","Growth",NA,"#f1d894"
"Coregonus fontanae","Larva/fry",1,8,12,"Coregonus fontanae","Density",NA,"#a6d854"
"Coregonus lavaretus","Embryotic/egg",5,9,11,"Coregonus lavaretus","Growth",NA,"#66c2a5"
"Coregonus lavaretus","Embryotic/egg",1,9,13,"Coregonus lavaretus","Other",NA,"#66c2a5"
"Coregonus lavaretus","Embryotic/egg",4,9,10,"Coregonus lavaretus","Survival",NA,"#66c2a5"
"Coregonus lavaretus","Larva/fry",1,8,12,"Coregonus lavaretus","Density",NA,"#66c2a5"
